# <db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
erinaceus_europaeus_abinitio,yes,no,yes,erinaceus europaeus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>erinaceus europaeus</I>.,ftp.ensembl.org/pub/current_fasta//erinaceus_europaeus/pep/*.pep.abinitio.fa.gz,
felis_catus_abinitio,yes,no,yes,felis catus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>felis catus</I>.,ftp.ensembl.org/pub/current_fasta//felis_catus/pep/*.pep.abinitio.fa.gz,
gadus_morhua_abinitio,yes,no,yes,gadus morhua (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>gadus morhua</I>.,ftp.ensembl.org/pub/current_fasta//gadus_morhua/pep/*.pep.abinitio.fa.gz,
gallus_gallus_abinitio,yes,no,yes,gallus gallus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>gallus gallus</I>.,ftp.ensembl.org/pub/current_fasta//gallus_gallus/pep/*.pep.abinitio.fa.gz,
gasterosteus_aculeatus_abinitio,yes,no,yes,gasterosteus aculeatus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>gasterosteus aculeatus</I>.,ftp.ensembl.org/pub/current_fasta//gasterosteus_aculeatus/pep/*.pep.abinitio.fa.gz,
gorilla_gorilla_abinitio,yes,no,yes,gorilla gorilla (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>gorilla gorilla</I>.,ftp.ensembl.org/pub/current_fasta//gorilla_gorilla/pep/*.pep.abinitio.fa.gz,
homo_sapiens_abinitio,yes,no,yes,homo sapiens (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>homo sapiens</I>.,ftp.ensembl.org/pub/current_fasta//homo_sapiens/pep/*.pep.abinitio.fa.gz,
ictidomys_tridecemlineatus_abinitio,yes,no,yes,ictidomys tridecemlineatus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>ictidomys tridecemlineatus</I>.,ftp.ensembl.org/pub/current_fasta//ictidomys_tridecemlineatus/pep/*.pep.abinitio.fa.gz,
latimeria_chalumnae_abinitio,yes,no,yes,latimeria chalumnae (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>latimeria chalumnae</I>.,ftp.ensembl.org/pub/current_fasta//latimeria_chalumnae/pep/*.pep.abinitio.fa.gz,
loxodonta_africana_abinitio,yes,no,yes,loxodonta africana (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>loxodonta africana</I>.,ftp.ensembl.org/pub/current_fasta//loxodonta_africana/pep/*.pep.abinitio.fa.gz,
macaca_mulatta_abinitio,yes,no,yes,macaca mulatta (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>macaca mulatta</I>.,ftp.ensembl.org/pub/current_fasta//macaca_mulatta/pep/*.pep.abinitio.fa.gz,
macropus_eugenii_abinitio,yes,no,yes,macropus eugenii (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>macropus eugenii</I>.,ftp.ensembl.org/pub/current_fasta//macropus_eugenii/pep/*.pep.abinitio.fa.gz,
meleagris_gallopavo_abinitio,yes,no,yes,meleagris gallopavo (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>meleagris gallopavo</I>.,ftp.ensembl.org/pub/current_fasta//meleagris_gallopavo/pep/*.pep.abinitio.fa.gz,
microcebus_murinus_abinitio,yes,no,yes,microcebus murinus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>microcebus murinus</I>.,ftp.ensembl.org/pub/current_fasta//microcebus_murinus/pep/*.pep.abinitio.fa.gz,
monodelphis_domestica_abinitio,yes,no,yes,monodelphis domestica (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>monodelphis domestica</I>.,ftp.ensembl.org/pub/current_fasta//monodelphis_domestica/pep/*.pep.abinitio.fa.gz,
mus_musculus_abinitio,yes,no,yes,mus musculus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>mus musculus</I>.,ftp.ensembl.org/pub/current_fasta//mus_musculus/pep/*.pep.abinitio.fa.gz,
mustela_putorius_furo_abinitio,yes,no,yes,mustela putorius furo (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>mustela putorius furo</I>.,ftp.ensembl.org/pub/current_fasta//mustela_putorius_furo/pep/*.pep.abinitio.fa.gz,
myotis_lucifugus_abinitio,yes,no,yes,myotis lucifugus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>myotis lucifugus</I>.,ftp.ensembl.org/pub/current_fasta//myotis_lucifugus/pep/*.pep.abinitio.fa.gz,
nomascus_leucogenys_abinitio,yes,no,yes,nomascus leucogenys (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>nomascus leucogenys</I>.,ftp.ensembl.org/pub/current_fasta//nomascus_leucogenys/pep/*.pep.abinitio.fa.gz,
ochotona_princeps_abinitio,yes,no,yes,ochotona princeps (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>ochotona princeps</I>.,ftp.ensembl.org/pub/current_fasta//ochotona_princeps/pep/*.pep.abinitio.fa.gz,
oreochromis_niloticus_abinitio,yes,no,yes,oreochromis niloticus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>oreochromis niloticus</I>.,ftp.ensembl.org/pub/current_fasta//oreochromis_niloticus/pep/*.pep.abinitio.fa.gz,
ornithorhynchus_anatinus_abinitio,yes,no,yes,ornithorhynchus anatinus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>ornithorhynchus anatinus</I>.,ftp.ensembl.org/pub/current_fasta//ornithorhynchus_anatinus/pep/*.pep.abinitio.fa.gz,
oryctolagus_cuniculus_abinitio,yes,no,yes,oryctolagus cuniculus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>oryctolagus cuniculus</I>.,ftp.ensembl.org/pub/current_fasta//oryctolagus_cuniculus/pep/*.pep.abinitio.fa.gz,
oryzias_latipes_abinitio,yes,no,yes,oryzias latipes (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>oryzias latipes</I>.,ftp.ensembl.org/pub/current_fasta//oryzias_latipes/pep/*.pep.abinitio.fa.gz,
otolemur_garnettii_abinitio,yes,no,yes,otolemur garnettii (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>otolemur garnettii</I>.,ftp.ensembl.org/pub/current_fasta//otolemur_garnettii/pep/*.pep.abinitio.fa.gz,
pan_troglodytes_abinitio,yes,no,yes,pan troglodytes (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>pan troglodytes</I>.,ftp.ensembl.org/pub/current_fasta//pan_troglodytes/pep/*.pep.abinitio.fa.gz,
pelodiscus_sinensis_abinitio,yes,no,yes,pelodiscus sinensis (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>pelodiscus sinensis</I>.,ftp.ensembl.org/pub/current_fasta//pelodiscus_sinensis/pep/*.pep.abinitio.fa.gz,
petromyzon_marinus_abinitio,yes,no,yes,petromyzon marinus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>petromyzon marinus</I>.,ftp.ensembl.org/pub/current_fasta//petromyzon_marinus/pep/*.pep.abinitio.fa.gz,
pongo_abelii_abinitio,yes,no,yes,pongo abelii (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>pongo abelii</I>.,ftp.ensembl.org/pub/current_fasta//pongo_abelii/pep/*.pep.abinitio.fa.gz,
procavia_capensis_abinitio,yes,no,yes,procavia capensis (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>procavia capensis</I>.,ftp.ensembl.org/pub/current_fasta//procavia_capensis/pep/*.pep.abinitio.fa.gz,
pteropus_vampyrus_abinitio,yes,no,yes,pteropus vampyrus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>pteropus vampyrus</I>.,ftp.ensembl.org/pub/current_fasta//pteropus_vampyrus/pep/*.pep.abinitio.fa.gz,
rattus_norvegicus_abinitio,yes,no,yes,rattus norvegicus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>rattus norvegicus</I>.,ftp.ensembl.org/pub/current_fasta//rattus_norvegicus/pep/*.pep.abinitio.fa.gz,
sarcophilus_harrisii_abinitio,yes,no,yes,sarcophilus harrisii (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>sarcophilus harrisii</I>.,ftp.ensembl.org/pub/current_fasta//sarcophilus_harrisii/pep/*.pep.abinitio.fa.gz,
sorex_araneus_abinitio,yes,no,yes,sorex araneus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>sorex araneus</I>.,ftp.ensembl.org/pub/current_fasta//sorex_araneus/pep/*.pep.abinitio.fa.gz,
sus_scrofa_abinitio,yes,no,yes,sus scrofa (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>sus scrofa</I>.,ftp.ensembl.org/pub/current_fasta//sus_scrofa/pep/*.pep.abinitio.fa.gz,
taeniopygia_guttata_abinitio,yes,no,yes,taeniopygia guttata (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>taeniopygia guttata</I>.,ftp.ensembl.org/pub/current_fasta//taeniopygia_guttata/pep/*.pep.abinitio.fa.gz,
takifugu_rubripes_abinitio,yes,no,yes,takifugu rubripes (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>takifugu rubripes</I>.,ftp.ensembl.org/pub/current_fasta//takifugu_rubripes/pep/*.pep.abinitio.fa.gz,
tarsius_syrichta_abinitio,yes,no,yes,tarsius syrichta (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>tarsius syrichta</I>.,ftp.ensembl.org/pub/current_fasta//tarsius_syrichta/pep/*.pep.abinitio.fa.gz,
tetraodon_nigroviridis_abinitio,yes,no,yes,tetraodon nigroviridis (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>tetraodon nigroviridis</I>.,ftp.ensembl.org/pub/current_fasta//tetraodon_nigroviridis/pep/*.pep.abinitio.fa.gz,
tupaia_belangeri_abinitio,yes,no,yes,tupaia belangeri (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>tupaia belangeri</I>.,ftp.ensembl.org/pub/current_fasta//tupaia_belangeri/pep/*.pep.abinitio.fa.gz,
tursiops_truncatus_abinitio,yes,no,yes,tursiops truncatus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>tursiops truncatus</I>.,ftp.ensembl.org/pub/current_fasta//tursiops_truncatus/pep/*.pep.abinitio.fa.gz,
vicugna_pacos_abinitio,yes,no,yes,vicugna pacos (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>vicugna pacos</I>.,ftp.ensembl.org/pub/current_fasta//vicugna_pacos/pep/*.pep.abinitio.fa.gz,
xenopus_tropicalis_abinitio,yes,no,yes,xenopus tropicalis (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>xenopus tropicalis</I>.,ftp.ensembl.org/pub/current_fasta//xenopus_tropicalis/pep/*.pep.abinitio.fa.gz,
xiphophorus_maculatus_abinitio,yes,no,yes,xiphophorus maculatus (ab initio),Ab initio predicted protein sequences from ENSEMBL for <I>xiphophorus maculatus</I>.,ftp.ensembl.org/pub/current_fasta//xiphophorus_maculatus/pep/*.pep.abinitio.fa.gz,
#<db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
,yes,yes,no,-----GENBANK Fungi Genomes-----,,,,
Candida_dubliniensis_CD36_uid38659,yes,yes,no,Candida dubliniensis CD36 uid38659,Sequences from GENBANK for <I>Candida dubliniensis CD36 uid38659</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Candida_dubliniensis_CD36_uid38659/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Candida_dubliniensis_CD36_uid38659/*.fna
Candida_glabrata,yes,yes,no,Candida glabrata,Sequences from GENBANK for <I>Candida glabrata</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Candida_glabrata/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Candida_glabrata/*.fna
Cryptococcus_gattii_WM276,yes,yes,no,Cryptococcus gattii WM276,Sequences from GENBANK for <I>Cryptococcus gattii WM276</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Cryptococcus_gattii_WM276/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Cryptococcus_gattii_WM276/*.fna
Cryptococcus_neoformans_var_JEC21_uid10698,yes,yes,no,Cryptococcus neoformans var JEC21 uid10698,Sequences from GENBANK for <I>Cryptococcus neoformans var JEC21 uid10698</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Cryptococcus_neoformans_var_JEC21_uid10698/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Cryptococcus_neoformans_var_JEC21_uid10698/*.fna
Debaryomyces_hansenii_CBS767_uid12410,yes,yes,no,Debaryomyces hansenii CBS767 uid12410,Sequences from GENBANK for <I>Debaryomyces hansenii CBS767 uid12410</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Debaryomyces_hansenii_CBS767_uid12410/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Debaryomyces_hansenii_CBS767_uid12410/*.fna
Encephalitozoon_cuniculi_uid155,yes,yes,no,Encephalitozoon cuniculi uid155,Sequences from GENBANK for <I>Encephalitozoon cuniculi uid155</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Encephalitozoon_cuniculi_uid155/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Encephalitozoon_cuniculi_uid155/*.fna
Encephalitozoon_intestinalis_ATCC_50506_uid51607,yes,yes,no,Encephalitozoon intestinalis ATCC 50506 uid51607,Sequences from GENBANK for <I>Encephalitozoon intestinalis ATCC 50506 uid51607</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Encephalitozoon_intestinalis_ATCC_50506_uid51607/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Encephalitozoon_intestinalis_ATCC_50506_uid51607/*.fna
Eremothecium_cymbalariae_DBVPG_7215,yes,yes,no,Eremothecium cymbalariae DBVPG 7215,Sequences from GENBANK for <I>Eremothecium cymbalariae DBVPG 7215</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Eremothecium_cymbalariae_DBVPG_7215/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Eremothecium_cymbalariae_DBVPG_7215/*.fna
Eremothecium_gossypii_uid10623,yes,yes,no,Eremothecium gossypii uid10623,Sequences from GENBANK for <I>Eremothecium gossypii uid10623</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Eremothecium_gossypii_uid10623/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Eremothecium_gossypii_uid10623/*.fna
Kluyveromyces_lactis_NRRL_Y-1140_uid12377,yes,yes,no,Kluyveromyces lactis NRRL Y-1140 uid12377,Sequences from GENBANK for <I>Kluyveromyces lactis NRRL Y-1140 uid12377</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Kluyveromyces_lactis_NRRL_Y-1140_uid12377/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Kluyveromyces_lactis_NRRL_Y-1140_uid12377/*.fna
Lachancea_thermotolerans_CBS_6340_uid39575,yes,yes,no,Lachancea thermotolerans CBS 6340 uid39575,Sequences from GENBANK for <I>Lachancea thermotolerans CBS 6340 uid39575</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Lachancea_thermotolerans_CBS_6340_uid39575/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Lachancea_thermotolerans_CBS_6340_uid39575/*.fna
Naumovozyma_castellii_CBS_4309,yes,yes,no,Naumovozyma castellii CBS 4309,Sequences from GENBANK for <I>Naumovozyma castellii CBS 4309</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Naumovozyma_castellii_CBS_4309/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Naumovozyma_castellii_CBS_4309/*.fna
Naumovozyma_dairenensis_CBS_421,yes,yes,no,Naumovozyma dairenensis CBS 421,Sequences from GENBANK for <I>Naumovozyma dairenensis CBS 421</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Naumovozyma_dairenensis_CBS_421/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Naumovozyma_dairenensis_CBS_421/*.fna
Pichia_pastoris_GS115_uid39439,yes,yes,no,Pichia pastoris GS115 uid39439,Sequences from GENBANK for <I>Pichia pastoris GS115 uid39439</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Pichia_pastoris_GS115_uid39439/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Pichia_pastoris_GS115_uid39439/*.fna
Saccharomyces_cerevisiae_uid128,yes,yes,no,Saccharomyces cerevisiae uid128,Sequences from GENBANK for <I>Saccharomyces cerevisiae uid128</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Saccharomyces_cerevisiae_uid128/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Saccharomyces_cerevisiae_uid128/*.fna
Schizosaccharomyces_pombe_uid127,yes,yes,no,Schizosaccharomyces pombe uid127,Sequences from GENBANK for <I>Schizosaccharomyces pombe uid127</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Schizosaccharomyces_pombe_uid127/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Schizosaccharomyces_pombe_uid127/*.fna
Tetrapisispora_phaffii_CBS_4417,yes,yes,no,Tetrapisispora phaffii CBS 4417,Sequences from GENBANK for <I>Tetrapisispora phaffii CBS 4417</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Tetrapisispora_phaffii_CBS_4417/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Tetrapisispora_phaffii_CBS_4417/*.fna
Torulaspora_delbrueckii_CBS_1146,yes,yes,no,Torulaspora delbrueckii CBS 1146,Sequences from GENBANK for <I>Torulaspora delbrueckii CBS 1146</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Torulaspora_delbrueckii_CBS_1146/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Torulaspora_delbrueckii_CBS_1146/*.fna
Yarrowia_lipolytica_CLIB122_uid12414,yes,yes,no,Yarrowia lipolytica CLIB122 uid12414,Sequences from GENBANK for <I>Yarrowia lipolytica CLIB122 uid12414</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Yarrowia_lipolytica_CLIB122_uid12414/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Yarrowia_lipolytica_CLIB122_uid12414/*.fna
Zygosaccharomyces_rouxii_CBS_732_uid39573,yes,yes,no,Zygosaccharomyces rouxii CBS 732 uid39573,Sequences from GENBANK for <I>Zygosaccharomyces rouxii CBS 732 uid39573</I>.,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Zygosaccharomyces_rouxii_CBS_732_uid39573/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Fungi/Zygosaccharomyces_rouxii_CBS_732_uid39573/*.fna
#<db_root>,<prot?>,<nuc?>,<short_seqs?>,<db_menu_name>,<db_long_name>,<protein_url>,<nuc_url>
,yes,yes,no,-----GENBANK Bacteria Genomes-----,,,,
Acaryochloris_marina_MBIC11017_uid12997,yes,yes,no,Acaryochloris marina MBIC11017 uid12997,Sequences from GENBANK for <I>Acaryochloris marina MBIC11017 uid12997</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acaryochloris_marina_MBIC11017_uid12997/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acaryochloris_marina_MBIC11017_uid12997/*.fna
Acetobacter_pasteurianus_IFO_3283_01_42C_uid31141,yes,yes,no,Acetobacter pasteurianus IFO 3283 01 42C uid31141,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 01 42C uid31141</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_01_42C_uid31141/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_01_42C_uid31141/*.fna
Acetobacter_pasteurianus_IFO_3283_01_uid31129,yes,yes,no,Acetobacter pasteurianus IFO 3283 01 uid31129,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 01 uid31129</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_01_uid31129/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_01_uid31129/*.fna
Acetobacter_pasteurianus_IFO_3283_03_uid31131,yes,yes,no,Acetobacter pasteurianus IFO 3283 03 uid31131,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 03 uid31131</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_03_uid31131/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_03_uid31131/*.fna
Acetobacter_pasteurianus_IFO_3283_07_uid31133,yes,yes,no,Acetobacter pasteurianus IFO 3283 07 uid31133,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 07 uid31133</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_07_uid31133/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_07_uid31133/*.fna
Acetobacter_pasteurianus_IFO_3283_12_uid32203,yes,yes,no,Acetobacter pasteurianus IFO 3283 12 uid32203,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 12 uid32203</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_12_uid32203/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_12_uid32203/*.fna
Acetobacter_pasteurianus_IFO_3283_22_uid31135,yes,yes,no,Acetobacter pasteurianus IFO 3283 22 uid31135,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 22 uid31135</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_22_uid31135/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_22_uid31135/*.fna
Acetobacter_pasteurianus_IFO_3283_26_uid31137,yes,yes,no,Acetobacter pasteurianus IFO 3283 26 uid31137,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 26 uid31137</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_26_uid31137/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_26_uid31137/*.fna
Acetobacter_pasteurianus_IFO_3283_32_uid31139,yes,yes,no,Acetobacter pasteurianus IFO 3283 32 uid31139,Sequences from GENBANK for <I>Acetobacter pasteurianus IFO 3283 32 uid31139</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_32_uid31139/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacter_pasteurianus_IFO_3283_32_uid31139/*.fna
Acetobacterium_woodii_DSM_1030_uid60713,yes,yes,no,Acetobacterium woodii DSM 1030 uid60713,Sequences from GENBANK for <I>Acetobacterium woodii DSM 1030 uid60713</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacterium_woodii_DSM_1030_uid60713/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetobacterium_woodii_DSM_1030_uid60713/*.fna
Acetohalobium_arabaticum_DSM_5501_uid32769,yes,yes,no,Acetohalobium arabaticum DSM 5501 uid32769,Sequences from GENBANK for <I>Acetohalobium arabaticum DSM 5501 uid32769</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetohalobium_arabaticum_DSM_5501_uid32769/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acetohalobium_arabaticum_DSM_5501_uid32769/*.fna
Acholeplasma_laidlawii_PG_8A_uid19259,yes,yes,no,Acholeplasma laidlawii PG 8A uid19259,Sequences from GENBANK for <I>Acholeplasma laidlawii PG 8A uid19259</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acholeplasma_laidlawii_PG_8A_uid19259/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acholeplasma_laidlawii_PG_8A_uid19259/*.fna
Achromobacter_xylosoxidans_A8_uid48393,yes,yes,no,Achromobacter xylosoxidans A8 uid48393,Sequences from GENBANK for <I>Achromobacter xylosoxidans A8 uid48393</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Achromobacter_xylosoxidans_A8_uid48393/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Achromobacter_xylosoxidans_A8_uid48393/*.fna
Acidaminococcus_fermentans_DSM_20731_uid33685,yes,yes,no,Acidaminococcus fermentans DSM 20731 uid33685,Sequences from GENBANK for <I>Acidaminococcus fermentans DSM 20731 uid33685</I>.,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acidaminococcus_fermentans_DSM_20731_uid33685/*.faa,ftp.ncbi.nih.gov/genbank/genomes/Bacteria/Acidaminococcus_fermentans_DSM_20731_uid33685/*.fna
